name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_010599,surname,female,unknown,tatar_registry,Закиретдинова,Закиретдинова,Zakiretdinova,Zakiretdinova,Закиретдинова,Закиретдинова,Закиретдинова,zags_2025,ev_0013798,active,surname
ttn_010602,given,male,unknown,tatar_registry,Закирҗан,Закирзян,Zakircan,Zakirzian,Закирзян,Закирҗан,Закирзян,zags_2025,ev_0003652,active,given
ttn_010603,surname,male,unknown,tatar_registry,Закирҗанов,Закирзянов,Zakircanov,Zakirzianov,Закирзянов,Закирҗанов,Закирзянов,zags_2025,ev_0013799,active,surname
ttn_010604,surname,female,unknown,tatar_registry,Закирҗанова,Закирзянова,Zakircanova,Zakirzianova,Закирзянова,Закирҗанова,Закирзянова,zags_2025,ev_0013800,active,surname
ttn_010607,surname,male,unknown,tatar_registry,Закиров,Закиров,Zakirov,Zakirov,Закиров,Закиров,Закиров,zags_2025,ev_0013801,active,surname
ttn_010608,surname,female,unknown,tatar_registry,Закирова,Закирова,Zakirova,Zakirova,Закирова,Закирова,Закирова,zags_2025,ev_0013802,active,surname
ttn_010611,given,male,unknown,tatar_registry,Закирулла,Закирулла,Zakirulla,Zakirulla,Закирулла,Закирулла,Закирулла,zags_2025,ev_0003655,active,given
ttn_010614,surname,male,unknown,tatar_registry,Закируллин,Закируллин,Zakirullin,Zakirullin,Закируллин,Закируллин,Закируллин,zags_2025,ev_0013803,active,surname
ttn_010615,surname,female,unknown,tatar_registry,Закируллина,Закируллина,Zakirullina,Zakirullina,Закируллина,Закируллина,Закируллина,zags_2025,ev_0013804,active,surname
ttn_010618,given,male,unknown,tatar_registry,Закирхан,Закирхан,Zakirxan,Zakirkhan,Закирхан,Закирхан,Закирхан,zags_2025,ev_0003658,active,given
